;content;design;functionalitate;livrare_ambalaj;calitate_pret;satisfactie_generala
23;ceasul arata bine, este destul de solid, iar varianta de 46 (ce am eu) nu e atat de mare pe cat ma asteptam. dimensiunea zic eu ca e ok pentru oricine.  raspunde destul de repede atunci cand vrei sa vezi ora. in functie de setari... ecranul e inchis, iar cand misti mana sa te uiti la el se aprinde foarte repede.  sincronizarea cu telefonul e ok, iar conexiunea la internet de asemenea.  e placut si modul in care ticaie... cand se aprinde.  minus - sistemul de operare. nu sunt foarte multe aplicatii pe samsung market place, cum sunt pe google play.  alt minus, dar aici e legat de infrastructura din romania, versiunea disponibila nu are sim.;1.0;1;0;0.0;0
24;calitate - pret excelent;0.0;0;0;1.0;0
25;#name?;0.0;1;0;0.0;1
26;le-am bagat la masina de spalat si merg la fel de bine... isi merita bani;0.0;0;0;1.0;1
27;e bun, deocamdata.;0.0;0;0;0.0;1
28;se aude bine si distanta de acoperire este ok  o mica problema ar fi ca nu se aseaza perfect pe urechi si trebuie sa o asezi mai bine ca sa stea ok.;0.0;1;0;0.0;0
29;il am de aprox. 1 luna, nu ma dezamagit pana acum, pare ca functioneaza exact ca in specificatii. bateria tine in functie de cat de intens il folosesti.;0.0;1;0;0.0;0
30;se potriveste perfect... fara probleme la montaj sau la reglatul lungimii bratarii... recomand;1.0;0;0;0.0;1
31;raport calitate pret ok, dar nu gasesc functia de ascultare fara sa sun copilul? trebuie instalat ceva in plus? in rest ok;0.0;0;0;1.0;1
32;aparatul este destul de precis:  - pt. hr l-am comparat cu datele oferite de un ceas suunto m5 cu centura de puls si au dat rezultate similare  - pt. tensiunea l-am comparat cu un tensiometru automat (de tipul celor pe care le poti cumpara din farmacie) si, la fel, rezultatele au fost similare    pro: precizia in masuratori hr si puls, e usurel, bateria tine vreo 4-5 zile, arata bine, alea-alea.    contra: mare (-) pentru ca functia principala pentru care am luat bratara (notificare pentru apeluri, watsup etc.) lasa de dorit in sensul ca ceasul se deconecteaza. chiar daca pe telefon, in aplicatie, iti apare ca e conectat, pe ceas apare conexiune intrerupta. asta din senin, fara sa ma indepartez de telefon etc.   am sa incerc sa vad daca pe alt telefon are aceleasi deconectari aiurea dupa care ma decid daca il dau inapoi sau il pastrez.;1.0;1;0;0.0;0
33;foarte convenabil calitate/pret. un cadou perfect;0.0;0;0;1.0;1
34;sunetul este foarte ok pentru dimensiunea boxei si nivelul este suficient pentru o camera normala (oricum range-ul pe bluetooth nu permite distantarea prea mult si in niciun caz deplasarea in alta camera), dar si pentru afara, la un gratar cu prietenii, in curte, fara sa deranjezi vecinii.  se gasesc usor si case-uri ieftine pentru protectie / transport.  ca minus: m-a dezamagit ca nu poti vedea nivelul bateriei nicicum, nici macar prin conexiunea bluetooth (android), acea iconita mica de status care apare chiar si la casti chinezesti cu bluetooth de 5 dolari.  doar clipeste un led cand ajunge pe low battery. in fine, pana la urma pot trai cu asta.. cand am ocazia si imi aduc aminte, o mai incarc cate putin, nu neaparat full.  e ok si pentru browsing sau video pe laptop sau tableta, mai ales ca daca ai doua bucati le poti sincroniza;0.0;1;0;0.0;0
35;portabil e cam mult spus... sau nu in buzunar.     vine incarcat cam 75 % se incarca la 100% in 2 ore. probabil de la 0 dureaza cam 6  7 ore  am reusit sa incarc 3 telefoane si o camera foto si mai aveam aprox 35 40 %;1.0;1;0;0.0;0
36;are momente cand se misca mai greut si memorie reala cam mica, mi-am luat un card de memorie pentru a suplimenta spatiul. dar pe youtube merge bine. e ok la banii astia!;0.0;1;0;1.0;0
37;noi am cumparat 2. una pentru barbat si una pt femeie.    am ales pentru design si pentru ca stie mai multe sporturi.  materialul este bun, dupa 2 saptamani nu au aparut zgarieturi.  pedometrul am testat cu o alta bratara si este ok.  masoara tensiuniea bine.  bataile inimii ok.    trebuie incarcat in fiecare 4 zile.  bratara cand in cand opreste pt 5-6 minute.  am folosit numai functia de alergare, mi lipseste ca nu arata km parcursi, arata numai cate minutele am alergat si cate pasi am factut.    aplicatia este foarte prost. trebuie repronit zilnic de 2-3 ori, pentru ca nu sincronizeaza.   am plimbat impreuna 9 km., is cele doua bratari au aratat distante diferite, una 9 km si cealalta 7, dar ca problema vine de la program.  ar trebui o aplicatie mai buna.....    mie lipseste functia antilost.     pentru acest pret este o bratara buna.;1.0;1;0;1.0;1
38;cand umbli la bass si il scazi, cresc inaltele:))  pe radio nu poti face karaoke:)   la banii astia merita aparatul!!!;0.0;0;0;1.0;1
39;am un iphone 6s si il pote incarca de 4 pe zi  il pui noaptea la incarcat si se incarca full  se zgarie foarte rapid..;1.0;1;0;0.0;0
40;un card decent, nu-l setati ca si cale de salvare la video, ca nu merge asa de repede, dar pt fotografii, fisiere e super.  nu mi-a facut figuri, si l-am folosit intensiv, dar stiu sa nu cer mai mult decat poate duce.  il recomand!;0.0;0;0;0.0;1
41;bratara este buna pentru pretul pe care il are. are o precizie destul de buna si tine incarcata mai mult de 20 de zile.   am prmit comada foarte repede doar ca ecranul este putin ciobit.;1.0;1;1;1.0;0
42;raport calitate-pret e ok.;0.0;0;0;1.0;0
43;o folosesc de o saptamana, mai bine zis o foloseste fiul meu de 3 ani. totul pare in regula. wi-fi cam lasa de dorit. ma asteptam la mai mult. in rest totul dupa specificatii. bateria in schimb vad ca duce bine, nu se incalzesre prea tare etc. se merita sa o iei la banii astia!;0.0;1;0;1.0;1
44;husa este de calitate;0.0;0;0;0.0;1
45;este ok.;0.0;0;0;0.0;1
46;am luat. o la oferta cu 50lei... aseara cand am deschis pachetul era 75% incarcata.... am incarcat telefonul meu samsung de 3 ori si am tinut lanterna toata noaptea aprinsa... deci pot spune ca de maxim 5 ori o sa. l incarc cu siguranta, recomand!!!;0.0;1;0;0.0;1
47;scriu acest comentariu doar pentru a aduce la cunostinta celor care urmeaza sa achizitioneza acest produs, faptul ca modulul radio nu functioneaza atunci cand boxa este la incarcat. modului fm functioneaza doar cu un cablu micro usb conectat in aceeasi intrare prin care se incarca.    in rest nu am argumente nici pro nici contra, un produs ok la un pret ok.;0.0;0;0;1.0;1
48;un produs ok, rezista cu brio la socurile pe care i le administreaza un copil de 1 an.  raza de actiune 4-5 m in casa.;1.0;1;0;0.0;1
49;am achizitionat de la acelasi furnizor si modelul cu scai. foarte rapida livrarea (a doua zi de dimineata cu comanda lansata dupa ora 12, daca nu ma insel). calitativ si productiv cureaua este decenta comparand-o cu cele originale, insa nu lasa de dorit avand in vedere si pretul.;1.0;0;1;1.0;0
50;cam mare difuzorul care intra in ureche.  in rest se aude bine. isi face treaba.;0.0;1;0;0.0;1
51;aceasta baterie este absolut perfecta pentru calatorii, festivaluri, etc, datorita capacitatii mari de incarcare. nu am apucat sa imi incarc telefonul (iphone 7) de mai mult de 2 ori, fara sa pun apoi bateria la incarcat. cu 2 incarcari ale telefonului, capcacitatea bateriei a ajuns la 75 %.  singurele dezavataje sunt dimensiunile destul de mari si faptul ca este cam grea, 300 gr, dar acestea sunt deja specificate in descriere.;1.0;1;0;0.0;0
52;este un suport practic si universal. il folosesc pentru un iphone 5s cu tot cu husa si este stabil in mers. foarte practic pentru facetime.;0.0;1;0;0.0;0
53;este foarte util. in special pentru notificari. are multe fete interesante si este usor de folosit. o mica dezamagire a fost ca se lauda cu cateva aplicatii pe care nu pot sa le folosesc:    spotify - nu este in store. probabil din cauza tarii.  uber - nu functioneaza mai deloc. ii pui adresele din telefon, iti ia locatia din ceas, dar cand sa selectezi adresa, este empty. in plus, consuma foarte mult bateria, chiar daca nu o folosesti.    dar acestea sunt cauze care se pot remedia in timp. ceasul si functionalitatile lui sunt foarte utile.;1.0;1;0;0.0;0
54;am cumparat bratara dupa ce am cautt informatii pe internet. pretul este ok pentru ce face. am 3 probleme/ nelamuriri:  1. cineva scria ca se poate seta culoarea de fundal cred ca era postat gresit comentariul, eu nu gasesc setarea pentru asa ceva  2. nu pot seta decat notificari pentru sms si apel, nu pentru wapp, facebook, twitter etc., nici nu am optiunile astea  3. nu apare id-ul apelantului, nu am gasit optiunea pentru importarea contactelor.;0.0;0;0;1.0;0
55;nemultumiti de cureaua, e foarte rigida pentru asteptarile mele.   curierul a venit la 6 zile dupa ce am facut comanda. (urgent curier). meniul este slab.;1.0;1;1;0.0;0
56;"pro - feluri diferite pentru conectare cu device-uri  - sunet curat, placut care umple incaperea cu un bass prezent cat ai nevoie  - bateria tine cateva zile cu o folosire moderata.  - design placut  contra - ce nu e trecut in descriere si anume faptul ca ""vorbeste"".  vorbeste atunci cand se conenteaza, deconecteaza, cand urmeaza sa se inchida si atunci cand e conctat la telefon iti spune nr de telefon. partea negativa este ca nu poti anula functia respectiva. noi folosim boxa pentru o aplicatie din telefon cu sunete din natura la somnul copilului si cand ti e lumea mai draga si suna cineva asta taie sunetele si incepe sa dicteze nr de telefon. la fel face si cand se termina bateria.     ar fi primit 5 stele daca functia respectiva se putea anula cumva.";1.0;1;0;0.0;0
57;foarte bun, l-am achizitionat la pretul de 60 de lei, inca il folosesc, imi incarc telefonul de aproximativ 4 ori. afisajul electronic este util. lanterna e un mare plus.;1.0;1;0;0.0;1
58;bun, multumit de produs;0.0;0;0;0.0;1
59;tine un pic mai mult decat cel vechi, insa cel vechi se stingea cand ajungea la 20%;0.0;1;0;0.0;0
60;sunt de o calitate deosebita;0.0;0;0;0.0;1
61;pro: este foarte tare mai ales daca ai un s7 cu 128 gb iti intra la jocuri de numa. anti: cand vrei sa bagi telefonul nu iti merge din prima sa te joci si nu se vede asa bine dar e foarte bun. as da 5 stele dar cu telefonul sa il bagi acolo sa mearga nu merge din prima. foarte tare.;0.0;0;0;0.0;1
62;merita, este peste asteptari!;0.0;0;0;0.0;1
63;pro:  nu se incalzeste  randament bun - din 10050 mah cat are bateria, te bucuri de vreo 9.000 mah  notificare led pentru a sti cat este de incarcata bateria    contra:  cablul de incarcare/descarcare sensibil - al meu s-a defectat dupa cateva utilizari, fara sa il fortez in vreun fel.;1.0;1;0;0.0;0
64;este in regula... problema e ca nu mi se activeaza optiunea de monitorizare somn. o sa mai incerc.;0.0;1;0;0.0;1
65;multumit.... in mare un produs ok. era mai interesant si mai practic sa aiba si un buton pt volum pe boxa, dar nu este.;1.0;0;0;0.0;1
66;sunetul este destul de bun: pentru asemenea marime basul este surprinzator, inaltele cam lipsesc si uneori gijiie. fiind foarte usoara vibreaza deranjant. dupa primirea unui apel, nu revine la modul muzica, astfel senzatia este ca s-a stricat, aceasta se poate remedia din setari apel telefon.;0.0;1;0;0.0;0
67;este ok pana am va recomand;0.0;0;0;0.0;1
68;produsul pe care l-am achizitionat nu este cu nimic mai bun ca in alt magazin, important este ca clientul sa se simta bine primit in magazin si sa primeasca asistenta necesara. lucru care de altfel s-a si intamplat. legat de pret, sunt multumit, calitate?! e totusi samsung. intotdeauna am recomandat emag ca magazin si sper sa fiti in continuare macar la fel. multumesc!;1.0;1;0;1.0;1
69;am cumparat de o saptamana acest acumulator, nu l-am incercat inca la capacitate maxima, dar se pare ca este ok. indicatorul de incarcare palpaie prea slab si se vede destul de greu daca s-a terminat incarcarea acumulatorului.;1.0;0;0;0.0;1
70;destul de ok, calitate/pret.  am achizitionat doua incarcatoare diferite. pe acesta si unul mai ieftin care le folosesc la incarcarea unui iphone se. pot sa spun ca aceste este foarte bun comparativ cu cel mai ieftin cu 10 lei. nu se intrerupe, adica pui telefonul la incarcat si il incarca, sau daca nu il asezi cum trebuie, atunci te anunta imediat ca nu se face incarcarea. cel mai ieftin face cam acelasi lucru doar ca te anunta dupa unul doaua minute ca nu se face incarcarea bine.;0.0;1;0;1.0;0
71;am prins-o de black friday cu 40 lei... incarca relativ ok ca si timp, cred ca miliamperii sunt reali.;0.0;1;0;0.0;0
72;daca era cu greutatea mai usoara era mai bine  sunt multumit de puterea de iesire 2.4  sunt multumit de livrarea rapida din partea emag si pretul aest produs ca mi a convins ca sa fac comanda pt inca un acumulator cu culoare albastru-);0.0;1;1;1.0;0
73;"am cumparat bratara in urma cu o saptamana din dorinta de a-mi evalua activitatea zilnica si somnul.  + bateria tine vreo 5 zile  + ecranul este suficient de mare si vizibilitatea textului pe el este buna  + combinata cu aplicatiile ce se pot instala pe telefonul mobil si pe calculator, bratara furnizeaza informatii despre nr. de pasi, km parcursi, etaje urcate, calorii consumate, calorii ingerate, somn etc.  + se pot adauga activitati fizice chiar daca bratara nu a fost purtata, putandu-se aproxima efortul si consumul de calorii se pot adauga inclusiv km parcursi  - bratara nu este rezistenta la apa (este usor rezistenta la umezeala)  - bratara este dintr-un plastic cauciucat ce se incalzeste la efort    am cumparat bratara la reducere pt. ca a fost pachet desigilat si consider ca acesta este un pret okay. daca ar fi fost si rezistenta la apa (pentru a nu fi nevoit sa o dau jos cand inot) ar fi fost de nota maxima. nu am avut asteptari de acuratete 100% a masuratorilor (probabil ca senzorul poate fi ""pacalit"" de anumite miscari), dar per ansamblu este un obiect util.";1.0;1;0;0.0;1
74;bateria tine intr-adevar peste asteptari. memoria ram in plus, ar facilita un mai bun raspuns multitouch in aplicatii, mai ales in android 7.0.;0.0;1;0;0.0;0
75;sunt multumita de raportul calitate-pret.  se aude bine atat cu fir, cat si prin bluetooth.   bateria nu prea tine de la o zi la alta, dar chiar daca luminita se aprinde mai poti asculta o perioada indelungata.   imi place ca se pliaza si nu ocupa mult spatiu.;1.0;1;0;1.0;0
76;conform specificatiilor. am dat de cap radioului cu un cablu lung de alimentare introdus in mufa de incarcare, nu in aceea de usb. radiatoarele de bas nu prea misca dar la 10 wati ai difuzoarelor asta este. are un sunet mai plin, mai cald fata de alte concurente care doar tipa tare! a-si fi dorit o h 20 sau a 6 dar de unde pe siturile romanesti! in cele straine si nu dau nume nu am incredere! apreciez expedierea rapida si am incredere in emag!;0.0;1;1;0.0;1
77;se aude foarte clar si destul de tare pentru puterea redusa. bateria tine foarte bine.    recomand;0.0;1;0;0.0;1
78;detin de 1 saptamina acest incarcator si se descurca foarte bine. am incarcat un telefon samsung cu bateria de putere 2100mah si o tableta. dupa care a mai ramas 2 leduri luminoase. deci consum de 60%. telefonul la incarcat in 1ora si 50min. acumulatorul dureaza 3, 5 ore pentru incarcare completa. sunt multumit de acest produs. contra -culoarea;1.0;1;0;0.0;1
79;sunt multumit, raport pret -calitate excelent;0.0;0;0;1.0;1
80;suna bine, dar plasticul nu e foarte bun;1.0;1;0;0.0;0
81;foarte multumit de alegerea facuta.;0.0;0;0;0.0;1
82;este mai mare decat pare in imagini, insa e foarte practic. plasticul e destul de rezistent. ventuza insa nu se prinde de bord, doar de parbriz.;1.0;1;0;0.0;0
83;produsul este in regula, insa cu siguranta puteti achizitiona de la alt furnizor. eset gsm nu accepta retur, in schimb nu livreaza comanda corecta. am comandat husa rosie si am primit-o neagra. asta dupa ce am fost sunata de o doamna sa ma intrebe daca sunt sigura ca tableta mea se potriveste cu husa comandata. deoarece ei nu accepta retur. cam mari mofturi intr-o piata saturata de produse. si, cand colo, nu sunt in stare sa livreze corect.;0.0;0;1;0.0;1
84;+  acumulatorul, asa cum l-am primit incarcat la 77%, a reusit sa tina 3 incarcari succesive pentru un telefon asus zenfone zoom. nu stiu daca mai avea capacitate pentru o alta incarcare, nu am mai incercat.  afisajul digital este de ajutor.    -  lanterna este o gluma, un led slabut si cam atat.  timpul de incarcare este mare, cel putin folosind incarcatorul telefonului mai sus mentionat.;0.0;1;0;0.0;0
85;concluzia finala este fix cat dai atata face, poate chiar putin mai slab produsul pt 120lei cat m au costat cu transport.;0.0;0;0;1.0;0
86;nu are 2 usb-uri  prezenta lanterna led este un plus  sa vedem cat tine!;1.0;0;0;0.0;0
87;se aude foarte bine pentru marimea si pretul ei.;0.0;1;0;1.0;0
88;boxa e foarte misto, conectivitatea cu aplicatia jbl connect e mai nasoala, e la fel de portabila ca un frigider de apartament, nu are baterie.  *probabil cei de la emag au gresit titlul*  sunetul e clar si designul misto.;1.0;1;0;0.0;1
89;se comporta ok.... doar in limba engleza arata si numele apelantului...;0.0;1;0;0.0;0
90;foarte buna, dar nu tine decat 4 zile maxim bateria.;0.0;1;0;0.0;1
91;produsul este chiar ok la banutii astia;0.0;0;0;1.0;1
92;un accesoriu foarte util care functioneaza conform specificatii;0.0;1;0;0.0;1
93;inafara de marime si greutate, lucruri stiute la achitie, in rest merita 100 lei - isi face treaba 4-5 incarcari iphone 7 si samsung s6 edge;0.0;1;0;0.0;1
94;incarca de 2 ori un asus zenfone 2, materialul destul de placut la atingere iar bateria in sine este destul de compacta;1.0;1;0;0.0;0
95;in primul rand vreau sa iti pun in vedere ca in general sunt extrem de pretentios.    m-a rugat sotia sa ii cumpar o boxa portabila si inital m-am oprint la gbl go care din ce observ are sute de review-uri pozitive... sute.    astazi am fost la magazin sa o probez- calitate ok, bass puternic... destul de ok boxa la banii astia... dar slaba ca si putere comparabil cu sony (cam 3/4w putere reala). design-ul este extrem de slabut- materiale kitcioase- nu o pot recomanda pentru femei pretentioase.    acolo era si philips bt100a- finisaje de calitate, putere decenta (cam 2/3w putere reala), inalte foarte bune... in general ok dar.... bass... pauza totala.    la magazinul respectiv era si sony srsxb10b. finisaje frumoase si foarte placuta la atingere... de boxa vorbesc)  cand am pornit sony-ul... game over - inalte, joase, fidelitate... bass si muuuuuulta putere. foarte multa putere pentru cat de mica este aceasta boxa.     calitatea sunetului este senzationala- daca va doriti o boxa cu finisaje deosebite, ultraportabila, sunet de senzatie si putere reala de 5w va recomand cu caldura sony srsxb10b;1.0;1;0;0.0;1
96;cam scurt dar multumit de el.;0.0;0;0;0.0;1
97;singurul incovenient este faptul ca tremura putin din cauza asta nu i-am acordat 5 stele.  mentionez ca eu nu il montez/demontez. odata montat acolo a ramas;0.0;1;0;0.0;0
98;foarte bun produsul dar daca vrei sa-i folosesti ca radio nu ai nici o sansa sau cel putin al meu nu prinde nimic;0.0;1;0;0.0;1
99;robusta, rezistenta si suna surprinzator de bine pt un speaker de marimea ei. fun gadget.;1.0;1;0;0.0;1
100;buna ziua. mi-am achizitionat recent o tableta samsung galaxy tab e t560, 9.6'', quad-core 1.3 ghz,1.5gb ram,8 gb. functioneaza impecabil insa problema este la incarcare. dureaza foarte multa incarcarea ei desi e incarcatorul ei original. poate dura si 8-10 ore sa ajunga la 100%. pute-ti va rog sa mi spune-ti care ar fi problema. multumesc.;0.0;1;0;0.0;0
101;e foarte bun, am un galaxy s7 edge, si pot spune ca incarca destul de repede pe fast, deferenta fata de cablu pe fast e undeva la 30 min care zic eu ca e ok avand in vedere ca e wireles, oricum pretul e cam mare;0.0;1;0;1.0;1
102;inafara de ce au scris persoanele care au achizitionat acest produs:  pro: acumulatorul are o autonomie mai mare decat cea precizata in descriptia produsului( dupa achizitie cu acumulatorul oferit de producator fara sa il incarc a avut o autonomie de 5 ore) me modul radio. are doua fasii de picioruse foarte aderente pe multiple suprafate: masa, masina, pervazul de la geam si nu iti fuge din mana daca vrei sa accesezi butoanele. o poti folosi si fara acumulator conectat la priza. poate fii folosit ca si reciver bluetooth la home cinema, hi-fi etc dar puterea muzicala scade la 1/3(de pe lumia 520). are buton on/off.  contra: basul lasa de dorit dar la pretul acesta si marime nu prea gasesti diferente uriase. probleme cu redarea pieselor prin bluetooth, la o distanta de max 3m interferente ca si la radio de parca ai avea semnal slab. dar dupa restartarea boxei problema s-a remediat(fiind in posesia produsului de 11 zile am muscat-o de 2 ori)  este un produs pe care pui mana si greu il poti refuza pentru ca iti ofera multe intr-o forma compacta, solida, practica si probleme avute cu bluetooth-ul nu ma vor convinge sa returnez produsul.  off: despre produs: am avut o placere placuta cand am ridicat produsul blaupunkt bt02wh, fm, white fiind blue cum este afisat in poze.;1.0;1;0;0.0;1
103;ii ok, imi place;0.0;0;0;0.0;1
104;"daca nu are defecte din fabricatie, este o boxa foarte buna, cu multe calitati: sunetul plin si placut, mateiale de buna calitate si baterie pentru 20 de ore. aplicatia de telefon merge bine si este foarte utila. pate fi pornita direct din aplicatie sa redea muzica sau cu functia de ""wake up"". am cumparat 3 boxe, doua le-am pastrat, una am facut-o cadou si de 2 ori le-am schimbat. primull defect intalnit consta in lipsa alimentarii prin cablu (nu se incarca) iar alt defect intalnit a fost functionarea defectuoasa a boxei la inceputul redarii unei melodii sunetul avea o intarziere si incepea cu paraituri. am vazut si pe forumuri ca sunt oarecum defecte frecvente ale celor de la logitech. inlocuirea nu a fost dificila iar utilizarea lor este azi o placere. sfatul meu: daca se poate, testati alimentarea si redarea inainte de a le cumpara.";1.0;1;0;0.0;1
105;nokia 520, merge fara probleme.;0.0;1;0;0.0;1
106;foarte bun, tinand cont de raportul calitate -pret;0.0;0;0;1.0;1
107;este o bratara foarte utila intrucat afiseaza continutul notificarilor, iti arata si vremea, are cronometru, find device pentru telefon si in rest e la fel ca xiaomi band 2. un mic minus: faptul ca se termina bateria mult mai repede decat band2. intr o saptamana a ajuns la 15%. nu pot sa zic oricum ca e un mare disconfort.   o recomand deoarece e o bratara care merita banii.;0.0;1;0;1.0;1
108;am cumparat acest produs cu aproximatie 3 saptamani sa apara pe piata romaneasca   functionare cu sony xperia xz 9/10  aplicatii 8/10  baterie cu functii heart pornit 1, 5 zile   bateria cu functii heart oprit 6 zile   materiale 8/ 10  bluetooth 3-4 m 6/10  telefon sms-uri notificare 8/10  garmin pay 1/10 disponibil in cateva tari si cateva banci probabilitatea in romania egala cu 0  nu am avut probleme cu apa   pret 249 euro germania   daca nu il cumparm din germania sigur il luam de la emag;1.0;1;0;0.0;0
109;pro: bass foarte bun   merg excelent;0.0;1;0;0.0;0
110;calitatea sunetului chiar surprinde.;0.0;1;0;0.0;0
111;multumita!;0.0;0;0;0.0;1
112;bratara arata foarte bine pe un gear s3 frontier, magnetul este suficient de puternic iar colaborarea cu vanzatorul este ireprosabila.;1.0;1;0;0.0;0
113;acumulatorul este bun, partea de conectica pare un pic labila insa este functionala.;0.0;1;0;0.0;0
114;aceste casti, sunt foarte bune, se aude destul de clar, si merita cumparate;0.0;1;0;0.0;1
115;se aud clar dar fara bass;0.0;1;0;0.0;0
