|content|livrare_ambalaj
51|un televizor foarte slab, agata imaginea, fluenta redusa, sunetul acceptabil, nu era o problema dar imaginea extraordinar de slaba. in spectrul acesta de buget exista optiuni mult mai bune, sau se poate scadea diagonala pentru a lua un model mai bun dar p6k ca serie, este slab.|0
52|vin de la un model al unei alte comapnii mari din 2019/2020 de 108cm si trecerea la 139cm nu ma asteptam sa se simta atat de tare, dar se simte. in primul rand acest tcl are un algoritm de upscaling foarte prost incat de la 0-2 metri distanta de el in momentul in care te uiti la televiziune clasica sd sau fhd, pur si simplu se vede groaznic. s-a conectat foarte repede la tot ce am avut nevoie, dar faptul ca ai nevoie de 0 aplicatii (si google home si tcl home) e un minus. la vechiul televizor nu aveam niciuna. telecomanda e foarte buna si confortabila, iar televizorul se misca extrem de rapid, zbarnaie ca prin branza. insa calitatea imaginii lasa foarte mult de dorit. cel mai probabil ii voi face retur.|0
53|s-a stricat dupa un an! cea mai proasta marca|0
54|tv-ul este ok, dar se contecteaza doar prin telefon, si automat si telecomanda se activeaza din aplicatia telefonului astfel ca telecomanda primita nu am reusit sa o conectez cu tv-ul chiar daca am incercat sa ma decontectez din aplicatie si am urmat instructiunile oferite si de chat gpt. pana la urma am cumparat o telecomanda clasica universala care functioneaza foarte bine si s-a conectat fara batai de cap.|0
55|am comandat si eu televizorul acesta, se misca destul de bine, singurul minus pe care il are ar fi ca din pacate nu are port de conectare cablu optic pentru sistemul audio, a trebuit sa imi comand un adaptor bluetooth ca sa rezolv problema: d|0
56|pana acum isi face treaba, in schimb telecomanda fara cifre|0
57|merita investitia.|0
58|foarte sensibila telecomanda... am un sony de 50 hz si e la fel si acest samsung doar sunetul ma da pe spate da e ok|0
59|pret calitate e bun|0
60|merita pt pretul sau. un minus ar fi ca singura iesire audin este prin hdmi arc sau bluetooth! se vede super! picioarele nu sunt chiar atat de solide. recomand un suport!|0
61|tv ul este ok, dar cand e inchis, are un mic bazait (tiuit) in partea dreapta sus. nu stiu care e problema, dar nici nu-l trimit la garantie ca poate fac mai rau.|0
62|foarte bun. livrare ok|2
63|faptul ca nu poti folosi tv fara sa-ti faci cont este josnic.|0
64|raport calitate pret|0
65|din pacate nu are functie de inregistrare program tv pe dispozitiv usb conectat la tv. a trebuit deci sa il cumpar ca sa aflu daca are functie pvr / time shifting.|0
66|multumit calitate-pret|0
67|luminozitatea tv ului nu este chiar ce ar trebui|0
68|am achitionat acest produs dupa o experienta neplacuta cu un televizor similar dar achizitionat in 2021 si care s-a defectat dupa exact 4 ani, defect care a aparut la intreg lotul de televizoare din cate observ pe forumul produsului din 2021. practic sunt zeci de reactii privind televizoarele qled samsung achizitionate in 2021 si care s-au defectat relativ rapid dupa garantie, intr-un interval de 0-4 ani (display defect) si pentru care reparatia costa 80% din pretul televizorului.astfel ca sunt deja ingrijorat privind durata de viata a acestui produs, sper ca cei de la samsung sa fi rezolvat si sa nu se repete problema, asta daca nu a fost premeditata ceea ce este si mai grav.in plus, constat ca imaginea celui din 2025 este mai estompata fata de cea a televizorului din 2021 chiar si pe modul standard sau dinamic, iar timpul de reactie al comenzilor din telecomanda pare mai mare, insa nu este deranjant.per total pot spune ca sunt multumit de imagine si sunet si voi urmari fiabilitatea in continuare.|0
69|televizorul bun, dar telecomanda lasa de dorit.|0
70|multumit recomand|0
71|televizorul este foarte bun. am dat doar patru stele deoarece esti obligat sa te autentifici cu un cont (samsung, google) pentru a avea parte de toate „caracteristicile” aparatului. probabil pentru unii nu este aceasta o problema, dar mie nu mi-a convenit. in rest, foarte bun.|0
72|totul este bun, poate fi recomandat|0
73|imagine si sunet foarte bune. ce nu imi place si nu imi pare ok e consumul de 5 - 9w cu el inchis iar in spec zice 0.|0
74|tv foarte bun se vede foarte bine.am dat 4 stele pt ca nu ma asteptam sa fie atat de gros fata de modelul precedent.a si la livrare a venit sigilat dar fara cablu pt incarcare telecomanda! cablu lipsa. nu stiu daca emag este de vina sau altcineva!|1
75|ieri mi a ajuns si mie varianta 125cm, am fost usor dezamagit din prima in privinta sunetului, si calitatea imagini nustiu ce sa zic am dat putin pe youtube si imi apare calitae maxim 2160 nu mi se pare ca se vede foarte clar pe neftflix sa zic ca a fost ok, se fac anumite setari ceva daca stiti imi puteti spune si mie?|0
76|luminozitatea tv ului destul de saracioasa! in ciuda fatului ca setarile de luminozitate sunt la maxim, ecranul ramane destul de inchis fara nici o stralucire|0
77|putin nemultumit deoarece in titlu apare clar model 2025, insa el este 2021!|0
78|televizorul e ok, dar firma de curierat, nu a preluat produsul de rabla pt tv.|1
79|calitati bune ale imaginii si sunetului, dar meniul nu este deloc intuitiv si foarte greoi, la fel cum se intampla si cu ghidul de programe. intarzierea este enervanta. telecomanda e buna, dar neavand o forma asimetrica o poti tine invers si evident, comenzile pot fi altele decat cele dorite.in concluzie, parca ar fi un produs de firma dar de buget low cost.|0
80|televizorul foarte bun.... dar nu merge cu sistemul home cinema.....(mai am doua televizoare samsung si ele merg),nu suporta decat hdmi arc sistemul are tote iesirile numai pe acestea nu.... am cumparat un convector de la hdmi arc la optic recunoste sistemul dar dupa nu poti regla volumul decat din sistemul home cineva.telecomanda arata ca se conecteaza vede sistemul dar nu poti regla macar volumul, vechile modele o faceau,si chiar bine, pacat, se vede excelent.|0
81|este ok insa culorile si claritatea imagini lasa de dorit.|0
82|calitate scazuta a imaginii, se vede intunecat chiar si pe dinamic. qled doar cu numele.|0
83|conectrea prin wireless cu laptopul nu functioneaza! de fiecare data trebuie sa il sterg sa ma pot conecta wireless cu laptopul. sunet praf! imagine..... trebuie sa stai pe el sa il setezi altfel imaginea va fi una mediocra spre falsa!|0
84|calitate imagine mult sub asteptari, este mai jos decit a unui led samsung de generatie mai veche. semnal atena bun dar degeaba. nu are claritate.|0
85|nu recomand. s. a stricat dupa o luna. ecranul e negru si intra in modul de protectie in care se inchide singur dupa 15 decunde pt ca s. a dus sistemul de iluminare al ecranului.|0
86|s-a stricat dupa doi ani|0
87|dupa 0 luni de utilizare a aparut prima defectiune.|0
88|culori sterse, palide. sunetul e de tot rasul . adica ai impresia ca tot televizorul este intr-o oala cu capacul pus . da, pret atractiv dar mai mult nu merita.|0
89|diagonala 108 cm s-a stricat dupa o saptamana|0
90|am samsung model 2020 si are rata de refresh de 100, model 2025 cu 50? te uiti la un meci si vezi mingea cand suteaza si o mai vezi cand ajunge in poarta|0
91|l-am achizitionat in data de 25.11.2025 si deja trebuie sa il duc in service. are un pixel mort.|0
92|am cumparat acest tv dar este de o calitate inferioara! culori foarte sterse! nu recomand!|0
93|bleeding- foarte enervant, se vede foarte rau pe negru.. l-as returna, dar nu mai am ambalajul la tv-189, meniul si telecomanda e ok|0
94|o experienta foarte proasta.|0
95|imi place e rezonabil|0
96|primit cadou. in cutie, telecomanda smart si una standard. cablu de alimentare pentru marea britanie sau irlanda(cam dubios). noroc ca am mai avut prin pod cabluri de la casetofoane mai vechi! momentan e ok. are acele intarzieri de care vorbesc si altii, atunci cand schimbi programele, dar e ok.|1
97|merita banutii!|0
98|este foarte lent la schimbarea de canale. eram obisnuit cu tv-uri cu schimbare canal aproape instantanee. aici dureaza 2-5 secunde|0
99|desi pare depasita situatia, este greu accesibila mufa usb.|0
100|este tare|0
101|raport calitate/pret bun|0
102|pentru un televizor la pretul acesta, este ok.cand schimbi canalele are un delay de 1-0 secunde, este lenta, in rest pret raport/calitate este ok|0
103|tv-ul se vede bine, insa se misca mai greu prin meniu si prin aplicatii comparativ cu o versiune mai veche cu vreo 2 ani.|0
104|are o claritate frumoasa si curata. in schimb, se misca putin in realuare desi e facut update la ultimul soft.|0
105|este un tv bun, dar procesorul uneori sughite la comenzi rapide|0
106|se incarca putin greu cateodata|0
107|are delay la comenzi|0
108|raport bun calitate/pret|0
109|raport pret calitate bun!|0
110|testat foarte putin. pare ok, ce nu imi place la el, cum au ales sa faca spatele. se foarte proasta calitate,in ultimii 10 ani, am tot schimbat tv uri samsung.  sper sa nu fii facut rabat si la alte chestii.|0
111|e ok doar ca nu are gaming hub disponibil in romania desi este anuntat din 2022.|0
112|conform asteptarilor.|0
113|din pacate am intampinat probleme la setup, am reusit dupa cateva ore sa scap de eroarea cu smarthub being upgraded, care nu ma lasa sa instalez aplicatii. locasul unde se introduce mufa de alimentare era putin indoit.|0
114|tvu este ok, calitate pret, singura surpriza pt mine a fost telecomanda, nu era pt mine este pentru o peroana mai invarsta, si ii este foarte greu sa butoneze telecomanda. rugaminte daca a mai avut cineva ceasta problema sa imi lase un link sau model de telecomanda samsung care se potriveste cu acest model. multumesc|0
115|este un produs foarte slab calitativ si aici ma refer la imagine. il am de aproximativ 2 luni, iar pe aplicatii de streaming se vede execrabil, pixelat, culorile fade. este legat la semnal wi-fi 5g unde are download de aprox 200 mbs, ceea ce este arhisuficinet pentru streaming. tot slab mi se pare si functia smart, se misca extrem de greu, iar cand schimb paginile cu canale dureaza aprox 2 secunde! da, am umblat in functiile de imagine, care consider ca sunt multe si inutile. pe functia cablu tv, imaginea este un pic mai clara, insa si acolo daca te uiti atent indeaproape, imaginea este pixelata. |0
116|un mare minus!! deci nu credeam ca in 2025 tv. ul sa nu aiba optic, am tv mai vechi cu 10 ani si are iesire optica audio si multe alte functii, eu am sitem de boxe 5.1 prin optic, sunt foarte dezamagita pt ca sincer nu am banuit nici o clipa ca va lipsi optic ce e mai grav ca recunosc nu m-am uitat inainte sa il montez pe perete abia cand sa mufez cablurile am descoperit, si ma gandesc serios sa il returnez, pentru ca e aiurea sunetul si nu pot sa mai folosesc boxele 5.1 unde aveam sonor bun asa se aude tare naspa doar pe tv, nici imaginea nu este prea clara in comparatie cu un samsung vechi cu foarte multe optiuni de sunet si multe altele, prea sarac acest tv, credeam ca in 2025 tehnologia sa fie pe primul loc insa m-am inselat cu siguranta|0
117|placa de baza stricat dupa 2 luni de folosire.|0
118|imaginea avea dare albe la fundalul negru de la filme, imaginea nu se vedea atat de bine. l-am returnat si am luat ceva mai nou, tot samsung, cu componenta ai, putin mai scump. varianta 163 cm. televizorul probabil isi face treaba, cat de cat, or fi si diferente de lot, dar nu am considerat ca e un raport calitate/pret ok. bine ca l am luat de la emag si am putut sa fac un retur rapid.|0
119|fara indoiala, cea mai proasta achizitie din viata mea. nici macar cu chat pbt nu am reusit sa gasesc macar canalele|0
120|am avut ghinion cu livrarea, fiind revelion, apoi weekend, apoi 6 si 7 jan liber.ambalaj perfect, produs de calitate cu imagine foarte buna. atata doar ca modelul meu curbat samsung seria 6  avea un meniu mult mai rapid si orice comanda mergea instant, pe cand acesta agata si e cam lent pt 2025. adica am asteptari mai mari de la samsung pentru utilizare zilnica! am 2 aplicatii de streaming pe care le folosesc, plus tv de la digi rds, si cateodata se misca prin meniu mai rau ca bunica,alteori merge bine|2
121|plasticul din spate de foarte proasta calitate sa pot baga cablul de alimentare trebuie sa apas pe plastic pt ca e ridicat!! nu am facut retur doar pt ca aveam nevoie de tv de sarbatori|0
122|buna dimineata am comandat acest televizor de o luna si jumatate si am constatat ca in timp au aparut doua dungi pe ecran|0
123|am lucrat intr un centru 24/7 si colegii mei ziceau ca samsungurile pocnesc toate odata. calitatea imaginilor nu e totu.|0
124|am comandat acest televizor chiar de black friday, chiar atunci cand o fost bataie pe el. el per total este un televizor destul de bun raportat la calitate-pret. mai are probleme la calitatea audio, mai da rateuri cu cablul de la digi, dar nu stiu de ce. pe partea de smart, este destul de ok avind programul de operare vidaa, care este folosit pe majoritatea televizoarelor smart de buget. pozele pacalesc foarte putin spunand ca are rama ultraslim. oamenii se gandesc ca pana la rama este ecranul, dar gresit! in loc sa fie rama, este marginea de la ecran! totusi, daca nu e folosit mult televizorul,il recomand cu mare caldura!|0
125|pare a fi ok|0
126|nu ie extra ordinar de bun dar in bucatarie ie bun. la bani astia merge!|0
127|cumparat de black friday 2025, raport calitate calitate/pret excelent. nu are bluetooth. are wi-fi dar nu are bluetooth.|0
128|este ok, pret raport calitate|0
129|la pretul lui e foarte bun, are culori placute si partea de smart merge bine. nu va asteptati la tv premium|0
130|merita doar ca nu merge google chrom|0
131|destul de bun, usor de montat.|0
132|merita raport calitate pret foarte bun|0
133|telecomanda nu merge|0
134|nu se ridica la nivelul asteptarilor,culori sterse|0
135|la pretul acesta este incredibil nu se blocheaza, calitatea imaginii putin sub medie|0
136|e ok dar nu mai are suportul pe picioruse precum modelul anterior si ca atare acum stau cu grija sa nu se rastoarne.legatura la internet este insa un plus.|0
137|calitate pret, super decent, ce poti sa ceri mai mult de la un tv pana in 500 de lei|0
138|tv ok pt uz casnic|0
139|putin dificil de instalat, din cauza parolei pentru controlul parental. okay in rest|0
140|un televizor onest la un pret acceptabil care se misca ok la cat costa  nu stiu ce asteptari au cei care au dat comentarii negative de la un tv la pretul achizionat. deja il am de 6 luni forjare continua si ma declar multumit.|0
141|pret calitate foarte bune|0
142|recomand, foarte bun, calitate pret|0
143|e in regula. face ce trebuie.|0
144|la pretul care al are este foarte bun. merge bine pe net se conecteaza repede la wifi. youtube si netflix merg bine.|0
145|pentru pretul platit face toti banii. un mare minus pentru retailerul emag. cand am comandat televizorul si mi s-a comunicat data livrarii, am banuit ca aparatul va fi livrat la domiciliu, iar cel vechi va ridicat in momentul predarii noului aparat. dar desi am si un abonament genius, am avut neplacuta surpriza, ca in ziua livrarii sa primesc un mesaj sms prin care eram invitat la magazin pentru a ridica televizorul platit in avans!|1
146|este ok, foarte ok pentru pretu pe care il are, parerea mea e ca ar trebui un suport metalic si nu din plastic, si imbunatatit pe partea de comanda pe youtube in rest e bun pana acum|0
147|bun la acesti bani. nu va asteptati la cine stie ce calitate audio, dar am vazut si mai rau. wifi merge doar in banda 0,4 ghz. pe 5 ghz nu functioneaza. in rest un tv simpatic bun pt spatii mici.|0
148|ptr raport pret calitate este ok. pret batrani sau cei cu degete groase telecomanda are butoane mici si inghesuite.|0
149|nu as zice chiar ca este de 5 stele, dar tinanad cont de cat am platit eu pe produs  nu ar trebui sa fie asteptari foarte mari. echipa emag, ca de fiecare data, totul la superlativ.|0
150|raportul calitate pret e bun. a venit cu un singur defect, porneste singur.|0
151|este foarte ok mai putin pe partea de conectivitate la internet... netflix, youtube se face ecranul negru si cam atat, as dori sa stiu daca a mai intampinat cineva acesta situatie si daca a avut o rezolvare|0
152|foarte bun. isi merita toti banii. claritate sunet tot|0
153|multumit pentru calitate pret|0
154|un televizor decent, la banii care costa|0
155|pot spune ca sunt multumit de acest televizor. este mai mult decat decent pentru cablu tv cat si pentru anumite aplicatii de streaming online. desi, posibil sa fi nimerit un lot mai prost, deoarece telecomanda face figuri atunci cand navighez in meniu, cand apas tasta de sus se duce total random in orice alta directie mai putin sus, la fel si cand apas pe butonul ok.|0
156|raport calitate pret ok|0
157|isi face treaba.|0
158|un tv mai mult decat decent la acest pret. se aude bine, se vede bine.|0
159|ok pret calitate|0
160|raport calitate pret foarte ok. se misca bine youtube pentru camera copiilor perfect|0
161|ieri o ajuns, l-am instalat usor, claritatea e ok la banii astia dar sunetul lasa rau de dorit. parca se aude ca in apa, foarte rau dar nu astept mare lucru la pretul asta. netul se misca destul de bine pe youtube, nu merge sacadat. sunt multumit de el deocamdata.|0
162|luat de black friday la 500 de lei. calitate /pret merita. nu va asteptati la viteza oferita de un smart tv de marca, se misca putin mai incet la executarea comenziilor, dar in rest merge fluent. la inceput am intampinat niste probleme audio la aplicatii, pe modul tv functiona bine. probleme au fost rezolvate doar dupa decuplarea de la alimentare a tvului. din punct de vedere audio se aude foarte puternic, din nou pentru acesti bani se descurca super bine. parte de ci card functioneaza perfect. per total, pentru pretul oferit este super ok, sa vedem cat rezista displayul.|0
163|foarte bun, il folosesc de 4 ani, urmeaza o noua achizitie asemanatoare, aceeasi firma.|0
164|este un tv foarte bun la pret si chiar azi a venit am stat 3h pe el prin toate setarile isi face treaba, conectat si consola, totul foarte ok.nu stiu de ce multi exagereaza cu sunetul se aude bine chiar era un volum decent 10, alti ca vai la digi nu merg programele digitale doar cele satelit, fel de fel de comentarii rautacioase. daca vrei un tv decent pentru camera cu un buget redus il recomand.|0
165|am luat acest televizor pentru bucatarie unde voiam un tv cu dimeniuni reduse care sa fie si smart. acest tv se misca bine in meniu, imaginea este ok, dar sunetu lasa grav de dorit. stiu ca la banii astia nu poti avea pretentii, dar nu ma asteptam sa se auda ca un telefon aruncat intr-o galeata. sper sa rezolv problema cu o pereche de boxe usb. ii dau 4 stele pentru ca inafara de sunet merita.|0
166|se comporta ok deocamdata|0
167|este conform descrierii|0
168|destul de bun|0
169|un televizor decent, de buget.|0
170|l am cumparat de black friday, e ok ca si claritate netul merge bine, se conecteaza ok si la hospot si la wifi, doar singura problema cu telecomanda raspunde cam greu la comezi, vad ca si altii au avut problema asta.. dar la pretul de 500 de lei nu ai ce sa i ceri.|0
171|raport calitate pret foarte bun, culorile sunt wow|0
172|raport calitate pret ok, a fost luat pentru parinti in bucatarie|0
173|pentru pretrul platit se misca foarte bine. am avut marci de renume la pret dublu care se miscau mult mai greu.|0
174|este ok,perfect pentru bucatarie, merita 500 lei|0
175|merita, raportat la pret|0
176|dupa nici o luna sunt probleme pe partea de tv, dupa pornire ecranul ramane negru fara imagine desi este pe tv, la schimbare canale acelasi lucru. isi revine numai dupa ce este scos din priza si restart de sistem. posibile probleme legate de tuner|0
177|destul de bun la ce pret mic are pacat ca nu are acces la a instala alte aplicatii inafara de cele recomandate de producator|0
178|tv-ul este foarte bun pentru partea de smart, se misca repede, are o calitate buna a imaginii dar sunetul cam lasa de dorit, se aude foarte infundat desi am incercat toate reglajele din setari. per total pentru acest pret este un televizor bun.|0
179|calitate pret ok.|0
180|culorile sunt destul de stridente, foarte luminos si nu am gasit optiunea de economisire energie, cu ecran mai putin luminat. in privinta optiunii de conectare la internet si aplicatii prestabilite merge foarte bine, insa telecomanda este foarte galagioasa, scoate un click deranjant la fiecare buton.|0
181|sunt multumita de produs. calitate pret bun|0
182|televizion in sine isi face bine treaba, eu l-am cumparat mai mult pentru partea asta de online media, deci pe partea de tv nu pot spune ce si cum. daca te multuesti cu chestii simple precum youtube si netflix atunci tv ul e perfect, dar daca cauti un tv cu care sa cauti chestii pe google sau sa faci ceva mai sofisticat nu prea ai sanse din moment ce magazinul lor de aplicatii au doar aplicati de media, aplicatii precum google sau brave nu exista la ei. overall daca vrei un tv pe care sa te mai uiti seara din cand in cand la cate un clip pe youtube sau la vre un anime ceva pe netflix cu prietenii, atunci da tv ul e foarte bun.|0
183|l-am cumparat pentru bunica acum un an si inca se vede bine si nu are nici o problema.pe partea de smart se misca destul de greu, dar pe canale tv se misca super bine.chiar recomand.|0
184|e bun si se vede destul de ok.|0
185|bun. in special la pret.se misca ok prin meniu, are wi-fi, usor de configurat.difuzorul in schimb e cam slab.|0
186|este ok pentru pretul lui, insa face probleme la conectivitate. cand se blocheaza nu mai merge nicio comanda; trebuie scos din priza si repornit.|0
187|sunt multumit|0
188|televizor star-light, nu poti avea mari pretentii. pentru pretul respectiv isi face treaba. ce mi se pare ciudat este ca e extrem de usor, cred ca are 1kg. |0
189|sunt multumit de produsul cumparat|0
190|economic si de incredere|0
191|televizorul este ok calitate pret desii are cateva chestii minus in privinta transportului lasa de dorit|0
192|este un echipament care concureaza cu cele samsung, lg, sony deorece si displayul este fabricat pe aceleasi linii tehnologice. intradevar software este diferit dar este intuitiv si complet. suport plastic este stabil dar nu foarte rezistent, sistemul audio este acceptabil dar recomandarea este cu sistem audio extern conexiune fibra optica. acces wifi de calitate. functiile smart deosebite. conectare cu echipamente externe pe hdmi fara probleme. nu se ofera decat 0 ani garantie dar acesta nu este din gama premium.|0
193|raport bun calitate/pret|0
194|multumitor|0
195|a mers bine un prima saptamana, acum cand pornesc tv ul de multe ori ramane imaginea neagra si trebuie sa il scot din priza de cateva ori ca sa isi revina|0
196|sunet praf! in rest ok!|0
197|raport calitate pret bun, imagine clara! acord doar 4 stele deoarece sunetul nu este grozav, mai ales cand dai volumul mai mare! per total sunt multumita!|0
198|daca vrei sa te uiti pe netflix pana iti cauti un film sa te uiti trebe sa ai rabdare merge foarte greu in rest merge bine|0
199|pret calitate ok, am o mica problema cu wi-fi ca de fiecare data cand pornesc tv-ul tre sa ma conectez la internet|0
200|am o problema cu alegerea facuta, nu m a dat pe spate, telecomanda face figuri,si ledul din stand by clipeste aiurea cateodata, nu este ceea ce ma asteptam, cu 200 in plus cred ca puteam sa iau cv mai bun, la pretul asta nu prea ai ce sa i ceri, una peste alta, asta e acum|0
